,BrandName,Deatils,Sizes,MRP,SellPrice,Discount,Category
15,life,solid polyester blend hood womens sweatshirt - powder blue,"Size:Large,Medium,Small,X-Small","Rs
1299",649,50% off,Westernwear-Women
16,and,floral cotton choker neck womens top - white,Size:14,"Rs
1299",649,50% off,Westernwear-Women
17,samshek,printed v-neck polyester womens regular dress - black,Size:5X-Large,Nan,3500,Nan,Westernwear-Women
18,and,solid choker neck womens woven top - blue,Size:8,"Rs
1099",549,50% off,Westernwear-Women
19,zink london,printed rayon mandarin womens tops - navy,"Size:Large,Medium","Rs
1699",679,60% off,Westernwear-Women
20,zink london,printed tie-up neck polyester womens shift dress - green,"Size:Large,X-Large","Rs
2199",879,60% off,Westernwear-Women
21,allen solly,solid cotton v neck womens t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1099",659,40% off,Westernwear-Women
22,Nan,Nan,Nan,Nan,Nan,Nan,Westernwear-Women
23,life,printed cotton round neck womens regular fit top - fuschia,"Size:Large,Medium,Small,X-Small","Rs
599",299,50% off,Westernwear-Women
24,forever new,solid square neck cotton womens midi dress - pink,"Size:6,8,10,12,14",Nan,6400,Nan,Westernwear-Women
25,life,solid regular neck polyester womens winter wear jacket - black,"Size:Large,Medium,Small,X-Small","Rs
3499",1749,50% off,Westernwear-Women
0,cover story,solid poly viscose round neck womens sweater - black,"Size:Large,Medium,Small,X-Small","Rs
2590",1813,30% off,Westernwear-Women
1,jealous 21,super skinny fit ankle length denim womens jeans - white,"Size:26,28,30,32,34,36",Nan,2299,Nan,Westernwear-Women
2,vero moda,printed viscose v neck womens dress - blue,"Size:Large,Medium,Small,X-Large,X-Small","Rs
3799",3039,20% off,Westernwear-Women
3,and,floral round neck polyester womens straight dress - pink mix,"Size:8,10,12,14,16","Rs
2499",1999,20% off,Westernwear-Women
4,pepe,skinny fit cotton blend womens jeans - white,"Size:26,28,30,32,34","Rs
3299",1979,40% off,Westernwear-Women
5,kraus,skinny fit ankle length cotton womens jeans - grey,"Size:28,34,36,38","Rs
1895",947,50% off,Westernwear-Women
6,zink london,checks round neck cotton womens midi dress - yellow,"Size:Large,Medium,Small,X-Large","Rs
2599",2079,20% off,Westernwear-Women
7,and,solid acrylic round neck womens straight top - black,"Size:8,10,12,14,16,18","Rs
2899",1449,50% off,Westernwear-Women
8,infuse,regular fit above knee womens casual wear skirt - indigo,"Size:26,28,30,32,34,36","Rs
1599",799,50% off,Westernwear-Women
9,infuse,solid cotton blend square neck womens regular fit woven top - olive,"Size:Large,Medium,Small,X-Small","Rs
899",359,60% off,Westernwear-Women
10,life,skinny fit ankle length cotton lycra womens jeans - denim indigo dark,"Size:26,28,30,32,34,36","Rs
1499",749,50% off,Westernwear-Women
11,vero moda,solid v-neck cotton blend womens t-shirt - black,"Size:Large,Medium,Small","Rs
1299",779,40% off,Westernwear-Women
12,allen solly,printed regular fit rayon womens formal wear trousers - black,"Size:28,30,32","Rs
1799",1079,40% off,Westernwear-Women
13,and,floral square neck polyester women flared dress - black,"Size:8,10,12,14,16,18","Rs
2899",2029,30% off,Westernwear-Women
14,zink london,stripes polyester tie up neck womens straight fit top - multi,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1499",599,60% off,Westernwear-Women
15,zink london,printed polyester womens fit and flare dress - pink,"Size:Large,Medium,Small,X-Large","Rs
2899",1159,60% off,Westernwear-Women
16,zink london,regular fit mid thigh length polyester womens casual shorts - blue,"Size:Medium,Small,X-Small","Rs
1599",499,69% off,Westernwear-Women
17,pepe,colour block crew neck cotton womens t-shirt - white,"Size:Large,Medium,Small,X-Large","Rs
1199",719,40% off,Westernwear-Women
18,fratini,printed polyester turtle neck womens regular fit top - black,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
799",399,50% off,Westernwear-Women
19,stop,solid collared polyester womens smart formals shirt - light blue,"Size:Large,Medium,X-Large","Rs
999",499,50% off,Westernwear-Women
20,latin quarters,solid rayon round neck womens regular blouse - wine,"Size:S,L","Rs
1399",499,64% off,Westernwear-Women
21,latin quarters,solid rayon blend round neck womens regular top - grey,"Size:S,X-Small","Rs
1999",499,75% off,Westernwear-Women
22,Nan,Nan,Nan,Nan,Nan,Nan,Westernwear-Women
23,and,solid acrylic round neck womens straight dress - wine,"Size:8,14,16","Rs
3299",1649,50% off,Westernwear-Women
24,vh flex,viscose regular fit womens jeans - black,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2499",1999,20% off,Westernwear-Women
25,magre,solid velvet boat neck womens bodycon dress - black,"Size:Large,Medium,Small,X-Small","Rs
1590",874,45% off,Westernwear-Women
0,and,polka dots collar neck viscose womens regular dresses - yellow,"Size:8,10,12,14,16,18","Rs
2499",1999,20% off,Westernwear-Women
1,faballey,solid round neck polyester blend womens regular fit midi dress - blue,"Size:Large,Small,X-Large","Rs
1950",975,50% off,Westernwear-Women
2,and,solid polyester v neck womens flared dress - black,Size:8,"Rs
2699",1889,30% off,Westernwear-Women
3,and,floral viscose collar neck womens straight top - white,"Size:8,10,12,14,16,18","Rs
1899",1519,20% off,Westernwear-Women
4,spykar,regular fit regular cotton lycra womens jeans - dark blue,"Size:26,28,30,32,34,36","Rs
2699",1889,30% off,Westernwear-Women
5,and,floral polyester round neck womens straight top - natural,"Size:8,10","Rs
2099",1469,30% off,Westernwear-Women
6,only,polyester cotton regular fit womens casual pants - pink,"Size:Large,Medium,Small,X-Large,X-Small","Rs
3499",2099,40% off,Westernwear-Women
7,levis,mid wash cotton tapered fit womens jeans - black,"Size:26,28,30,32,34",Nan,3999,Nan,Westernwear-Women
8,infuse,solid mid thigh cotton lycra womens casual shorts - indigo,"Size:26,28,30,32,34","Rs
1499",599,60% off,Westernwear-Women
9,van heusen,solid polyester v-neck womens top - red,Size:Small,"Rs
1049",799,24% off,Westernwear-Women
10,allen solly,printed polyester v neck womens shirt - yellow,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1699",1019,40% off,Westernwear-Women
11,kraus,slim fit full length cotton blend womens jeans - blue,Size:28,"Rs
1895",947,50% off,Westernwear-Women
12,indya,regular fit ankle length georgette womens festive wear skirt - pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
3400",2720,20% off,Westernwear-Women
13,only,solid viscose square neck womens top - green,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2299",1609,30% off,Westernwear-Women
14,allen solly,printed polyester round neck womens top - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1699",1499,12% off,Westernwear-Women
15,latin quarters,printed polyester womens regular blouse - ivory,"Size:S,M,L,XL","Rs
1599",799,50% off,Westernwear-Women
16,ivy,solid round neck polyester womens dress - purple,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2499",1249,50% off,Westernwear-Women
17,latin quarters,dyed v-neck polyester womens regular dress - blue,"Size:M,L,XL,XX-Large",Nan,2999,Nan,Westernwear-Women
18,only,all over print cotton square neck womens dress - blue,"Size:34,36,38,40,42","Rs
3699",2589,30% off,Westernwear-Women
19,van heusen,checks regular fit polyester womens formal pants - grey,"Size:26,28,30,32,34",Nan,1999,Nan,Westernwear-Women
20,altlife,solid polyester blend womens active wear bralette - dark grey,"Size:Large,Medium,Small,X-Large,X-Small","Rs
899",449,50% off,Westernwear-Women
21,latin quarters,solid polyester stretch v neck womens knit top - pink,"Size:M,L,XL","Rs
1650",825,50% off,Westernwear-Women
22,Nan,Nan,Nan,Nan,Nan,Nan,Westernwear-Women
23,insense,solid regular neck polyester blend womens pullover - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
899",449,50% off,Westernwear-Women
24,jealous 21,super skinny fit ankle length denim womens jeans - grey,"Size:26,28,30,32,34,36",Nan,2199,Nan,Westernwear-Women
25,zink london,printed polyester v neck womens dress - off white,"Size:Large,Medium,Small,X-Large","Rs
2299",1379,40% off,Westernwear-Women
0,latin quarters,solid polyester round neck womens regular blouse - peach,"Size:S,M,L,XL","Rs
1799",899,50% off,Westernwear-Women
1,zink london,abstract viscose u neck womens top - off white,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1399",839,40% off,Westernwear-Women
2,madame,floral polyester square neck womens regular fit top - black,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1799",899,50% off,Westernwear-Women
3,zink london,solid round neck acrylic women straight dress - pink,"Size:Large,Medium","Rs
3999",1599,60% off,Westernwear-Women
4,global desi,womens bodycon geometric casual wear tunic - dark blue,"Size:XL,Medium,Small","Rs
1899",759,60% off,Westernwear-Women
5,global desi,womens geometric bodycon top - gold,"Size:Medium,Small","Rs
1499",599,60% off,Westernwear-Women
6,and,solid polyester round neck womens straight top - emerald,Size:8,"Rs
1699",1359,20% off,Westernwear-Women
7,allen solly,printed rayon round neck womens top - aqua,Size:Small,"Rs
1699",1019,40% off,Westernwear-Women
8,enamor,cotton blend womens lounge pants - ribbon red,"Size:XL,Large,Medium,Small,XX-Large","Rs
949",664,30% off,Westernwear-Women
9,fratini,printed v neck polyester womens regular dress - off white,"Size:Large,Small,X-Large","Rs
1499",749,50% off,Westernwear-Women
10,kraus,light wash cotton blend skinny fit womens jeans - blue,"Size:28,30,32,34,36,38","Rs
1995",1795,10% off,Westernwear-Women
11,fratini,solid regular fit tencel womens casual pants - navy,"Size:26,28,30,32,34,36","Rs
1199",599,50% off,Westernwear-Women
12,vero moda,stripes v-neck viscose womens top - white,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2499",1249,50% off,Westernwear-Women
13,stop,regular fit full length acrylic womens leggings - off white,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
999",499,50% off,Westernwear-Women
14,vero moda,stripes viscose v neck womens top - blue,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1599",1119,30% off,Westernwear-Women
15,faballey,solid sleeveless georgette womens regular length jumpsuit - purple,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2200",1760,20% off,Westernwear-Women
16,kraus,skinny ankle length cotton blend womens jeans - light blue,"Size:28,30,32,34,36,38","Rs
1995",1396,30% off,Westernwear-Women
17,sera,printed mandarin neck cotton womens two piece dress - navy,"Size:Large,Small,X-Large","Rs
3294",1317,60% off,Westernwear-Women
18,proline,polyester off shoulder womens tank - pink,"Size:Large,Medium,Small,X-Large","Rs
799",399,50% off,Westernwear-Women
19,zink london,womens structure v neck peplum shift dress - pink,"Size:Large,Medium,X-Large,X-Small,XX-Large","Rs
2499",999,60% off,Westernwear-Women
20,and,floral linen round neck womens straight dress - powder blue,"Size:8,10,12,14,16,18","Rs
3099",2479,20% off,Westernwear-Women
21,kraus,skinny fit ankle length cotton blend womens jeans - blue,"Size:26,28,30,34,36","Rs
1895",1326,30% off,Westernwear-Women
22,Nan,Nan,Nan,Nan,Nan,Nan,Westernwear-Women
23,lovegen,womens round neck graphic print t-shirt - blue,Size:Small,"Rs
1099",439,60% off,Westernwear-Women
24,only,solid polyster blended womens knits - purple,Size:X-Large,"Rs
3699",1849,50% off,Westernwear-Women
25,faballey,embellished cotton square neck womens dress - green,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2600",2080,20% off,Westernwear-Women
0,dolce crudo,womens skinny fit moving on pearl hem jeans - navy,"Size:26,28,30,32,34","Rs
2499",1249,50% off,Westernwear-Women
1,faballey,solid crepe regular fit womens wide leg trousers - brown,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1950",1560,20% off,Westernwear-Women
2,latin quarters,printed polyester womens high low dress - pink,"Size:S,M,L,XL,XX-Large",Nan,2699,Nan,Westernwear-Women
3,zink london,printed polyester square neck womens casual wear dresses - red,"Size:Large,Medium,X-Large","Rs
2299",919,60% off,Westernwear-Women
4,zink london,printed v neck polyester womens dresses - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
2399",959,60% off,Westernwear-Women
5,stop,solid regular fit polyester womens formal pants - off white,"Size:28,30,32","Rs
1699",849,50% off,Westernwear-Women
6,madame,solid cotton round neck womens top - black,"Size:Large,Medium,Small,X-Large","Rs
899",539,40% off,Westernwear-Women
7,lovegen,boyfriend fit ankle length cotton womens jeans - red,Size:34,"Rs
2199",659,70% off,Westernwear-Women
8,emblaze,solid satin round neck womens straight top - bronze,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Nan,3000,Nan,Westernwear-Women
9,van heusen,printed v-neck polyester womens top - off white,"Size:Large,Medium,Small,X-Small","Rs
1699",999,41% off,Westernwear-Women
10,vero moda,solid polyester straight fit womens pants - black,"Size:Large,Medium,Small,X-Large,X-Small","Rs
3799",2659,30% off,Westernwear-Women
11,zink london,solid polyester round neck womens top - peach,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1499",899,40% off,Westernwear-Women
12,allen solly,printed polyester stylized womens top - maroon,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1699",1019,40% off,Westernwear-Women
13,only,solid viscose womens top - black,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1999",1399,30% off,Westernwear-Women
14,allen solly,printed polyester round neck womens top - pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1699",1499,12% off,Westernwear-Women
15,zink london,floral polyester square neck womens dress - off white,"Size:Large,Medium,Small,X-Large","Rs
2499",1499,40% off,Westernwear-Women
16,lovegen,womens mild wash skirt - indigo,"Size:Small,X-Small","Rs
1899",569,70% off,Westernwear-Women
17,vero moda,solid polyester normal fit womens casual pants - blue,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2799",2239,20% off,Westernwear-Women
18,kraus,printed collar neck tencel womens casual shirt - navy,"Size:Medium,Small,X-Large","Rs
1299",909,30% off,Westernwear-Women
19,infuse,printed rayon square neck womens regular fit tops - pink,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1499",749,50% off,Westernwear-Women
20,puma,printed cotton round neck womens athleisure top - black,"Size:Large,Medium,Small,X-Small","Rs
1999",1399,30% off,Westernwear-Women
21,and,solid viscose v neck womens tops - lilac,"Size:8,10,12,14,16,18",Nan,1399,Nan,Westernwear-Women
22,Nan,Nan,Nan,Nan,Nan,Nan,Westernwear-Women
23,kraus,clean look cotton blend wide fit womens jeans - light blue,"Size:28,30,32,34,36,38","Rs
1995",1795,10% off,Westernwear-Women
24,vero moda,stripes round neck cotton womens top - blue,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2599",1299,50% off,Westernwear-Women
25,altlife,printed cotton round neck womens active wear t-shirt - red,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
399",199,50% off,Westernwear-Women
0,madame,solid cotton v neck womens regular top - baby pink,Size:X-Large,"Rs
1399",839,40% off,Westernwear-Women
1,allen solly,solid cotton regular fit womens casual pants - off white,"Size:26,28,30,32,34,36","Rs
1599",999,38% off,Westernwear-Women
2,only,solid cotton round neck womens dress - black,"Size:Large,Medium,Small,X-Large,X-Small","Rs
3299",2309,30% off,Westernwear-Women
3,and,solid viscose square neck womens woven top - pink,"Size:8,10,12,14,16,18","Rs
1699",849,50% off,Westernwear-Women
4,global desi,floral viscose v-neck womens straight top - pink mix,"Size:XL,Large,Medium,Small,X-Small","Rs
1899",949,50% off,Westernwear-Women
5,zink london,solid rayon womens straight fit top - yellow,"Size:Large,Medium,Small,XX-Large","Rs
1699",679,60% off,Westernwear-Women
6,latin quarters,printed v-neck cotton womens a-line dress - natural,"Size:S,M,L,XL","Rs
2399",799,67% off,Westernwear-Women
7,and,solid v-neck womens fit & flare top - rust,"Size:8,14,16","Rs
1799",899,50% off,Westernwear-Women
8,jealous 21,solid round neck viscose womens regular top - maroon,Size:Medium,Nan,999,Nan,Westernwear-Women
9,latin quarters,solid polyester womens casual wear jacket - black,"Size:S,M,L","Rs
2699",799,70% off,Westernwear-Women
10,zink london,womens v neck floral print flared dress - white,"Size:Large,X-Large,XX-Large","Rs
2499",699,72% off,Westernwear-Women
11,allen solly,printed polyester cotton round neck womens regular top - grey,"Size:Large,Medium,Small","Rs
1599",959,40% off,Westernwear-Women
12,zink london,solid polyester high neck womens top - pink,"Size:Large,Medium,Small,X-Large","Rs
1699",1359,20% off,Westernwear-Women
13,life,printed collared neck rayon womens casual shirt - navy,"Size:Large,Medium,Small,X-Large,X-Small","Rs
699",349,50% off,Westernwear-Women
14,kraus,solid cotton off shoulder womens top - blue,"Size:Large,Medium,Small","Rs
1049",524,50% off,Westernwear-Women
15,allen solly,solid polyester round neck womens regular top - red,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1599",1279,20% off,Westernwear-Women
16,only,aop viscose womens cropped top - blue,"Size:34,36,38,40,42","Rs
2499",1499,40% off,Westernwear-Women
17,insense,womens  round neck  stripe t-shirt - olive,"Size:Small,X-Small","Rs
399",199,50% off,Westernwear-Women
18,only,placement print relaxed fit cotton womens casual pants - black,"Size:Large,Medium,Small,X-Large,X-Small","Rs
3299",2309,30% off,Westernwear-Women
19,latin quarters,solid round neck blended womens a-line dress - peach,"Size:S,M,L,XL","Rs
2299",1149,50% off,Westernwear-Women
20,enamor,cotton blend womens active wear track pants - black mix,"Size:XL,Large,Medium,Small,XX-Large","Rs
1699",1189,30% off,Westernwear-Women
21,life,embroidered cotton round neck womens regular fit t-shirt - white,"Size:Large,Medium,Small,X-Large,X-Small","Rs
599",299,50% off,Westernwear-Women
22,Nan,Nan,Nan,Nan,Nan,Nan,Westernwear-Women
23,van heusen,womens regular fit solid cigarette trousers - grey,"Size:26,28,30,32,34,36",Nan,1799,Nan,Westernwear-Women
24,stop,printed polyester womens ankle length culottes - natural,"Size:28,30,32,34,36","Rs
1199",599,50% off,Westernwear-Women
25,and,solid polyester round neck womens flared top - pink,"Size:6,8,10,12,14,16","Rs
1699",1359,20% off,Westernwear-Women
0,faballey,solid poly blend off shoulder womens dress - pink,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2100",1680,20% off,Westernwear-Women
1,zink london,floral viscose high neck womens top - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
2199",1319,40% off,Westernwear-Women
2,life,printed cotton round neck womens regular fit t-shirt - navy,"Size:Large,Medium,Small,X-Large,X-Small","Rs
599",299,50% off,Westernwear-Women
3,faballey,embellished sleeveless crepe womens regular length jumpsuits - green,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2700",2160,20% off,Westernwear-Women
4,vero moda,printed viscose square neck womens  tops - red,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2599",1819,30% off,Westernwear-Women
5,zink london,solid polyester round neck womens top - blue,"Size:Large,Medium,Small,X-Large","Rs
1499",899,40% off,Westernwear-Women
6,stop,solid polyester off shoulder womens regular fit top - mint,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
899",449,50% off,Westernwear-Women
7,and,solid polyester square neck womens straight dress - wine,"Size:8,10,12,14,16","Rs
2899",2029,30% off,Westernwear-Women
8,reebok,solid cotton round neck womens t-shirt - grey,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1499",749,50% off,Westernwear-Women
9,life,regular fit above knee cotton blend womens casual shorts - brown,"Size:26,28,30,32,34,36","Rs
999",499,50% off,Westernwear-Women
10,rare,printed viscose rayon square neck womens regular fit top - yellow,"Size:Large,Medium,Small,X-Large","Rs
1599",639,60% off,Westernwear-Women
11,zink london,womens printed v neck shift dress - black,Size:Large,"Rs
2299",699,70% off,Westernwear-Women
12,and,jacquard round neck polyester womens jacket - grey,Size:16,"Rs
3699",1849,50% off,Westernwear-Women
13,kraus,wide fit ankle length cotton womens jeans - fuchsia,"Size:32,34","Rs
1695",1186,30% off,Westernwear-Women
14,iti,womens ruffle embellished tie up jumpsuit - green,"Size:Large,Small",Nan,2699,Nan,Westernwear-Women
15,kraus,skinny fit full length cotton womens jeans - black,"Size:30,32,34","Rs
1795",1256,30% off,Westernwear-Women
16,zink london,womens v neck printed a-line dress - blue,"Size:Large,Small,X-Small","Rs
2799",699,75% off,Westernwear-Women
17,enamor,cotton womens relax bermuda - streaky brown,"Size:XL,Large,Medium,Small","Rs
699",489,30% off,Westernwear-Women
18,rare,printed v-neck polyester womens fit and flare dress - green,Size:Small,"Rs
2190",876,60% off,Westernwear-Women
19,van heusen,solid polyester cotton round neck womens formal jacket - black,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2999",1499,50% off,Westernwear-Women
20,zink z,embroidered polyester u neck womens top - white,"Size:Large,Medium,Small,X-Large,X-Small",Nan,1599,Nan,Westernwear-Women
21,gipsy,womens tie up neck solid shirt - grey,"Size:Large,Medium,Small,X-Large","Rs
1795",1256,30% off,Westernwear-Women
22,Nan,Nan,Nan,Nan,Nan,Nan,Westernwear-Women
23,samshek,solid regular fit crepe womens party wear pants - white,"Size:4X-Large,5X-Large,Large,Medium,Small,X-Large,X-Small,XX-Large,XX-Small,XXX-Large","Rs
3900",1950,50% off,Westernwear-Women
24,vero moda,solid round neck cotton blend womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1799",899,50% off,Westernwear-Women
25,faballey,solid polyester regular fit womens casual pants - brown,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2200",1760,20% off,Westernwear-Women
0,and,floral polyester round neck womens straight top - powder blue,"Size:6,8,10,12,14,16","Rs
2299",1839,20% off,Westernwear-Women
1,only,printed cotton round neck womens t-shirt - green,"Size:Large,Medium,Small,X-Large,X-Small","Rs
999",699,30% off,Westernwear-Women
2,only,placement print cotton womens t-shirt - white,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1499",899,40% off,Westernwear-Women
3,dolce crudo,womens flared reflect glow bootcut denim pants light blue - light blue,"Size:26,28,30,32,34","Rs
2349",1174,50% off,Westernwear-Women
4,campus sutra,solid crepe off shoulder womens top skirt set - black mix,"Size:Large,Medium,Small,X-Large",Nan,1999,Nan,Westernwear-Women
5,kraus,skinny ankle length cotton womens jeans - grey,"Size:28,30,32,34,36,38","Rs
1795",1615,10% off,Westernwear-Women
6,van heusen,solid polyester regular fit womens pants - wine,"Size:26,28,30,32,34,36",Nan,2199,Nan,Westernwear-Women
7,vero moda,normal fit cotton elastane womens jeans - blue,"Size:26,27,28,29,30,31,32,33,34","Rs
3499",2449,30% off,Westernwear-Women
8,kraus,flared fit full length cotton womens jeans - blue,"Size:28,36","Rs
1895",947,50% off,Westernwear-Women
9,sera,printed sweetheart neck polyester womens a-line dress - pink,"Size:Large,Medium,Small,X-Large","Rs
1998",999,50% off,Westernwear-Women
10,altlife,printed cotton regular neck womens t-shirt - mustard,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
399",199,50% off,Westernwear-Women
11,fratini,solid collar neck tencel womens woven top - white,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1299",649,50% off,Westernwear-Women
12,faballey,floral sweetheart neck cotton womens regular top - yellow,"Size:Large,Small,X-Large,X-Small","Rs
1650",825,50% off,Westernwear-Women
13,altlife,solid polyester blend ankle length womens active wear joggers - olive,"Size:28,30,32,34,36","Rs
1299",649,50% off,Westernwear-Women
14,only,solid cotton regular fit womens socks - peach,Nan,"Rs
999",699,30% off,Westernwear-Women
15,puma,printed cotton crew neck womens t-shirt - peach,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1299",909,30% off,Westernwear-Women
16,altlife,printed cotton blend regular neck womens t-shirt - dusty pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
499",249,50% off,Westernwear-Women
17,infuse,printed rayon full length womens loungewear pyjama - pink,"Size:28,30,32,34,36,38","Rs
799",319,60% off,Westernwear-Women
18,levis,womens 5 pocket coated jeans - black,"Size:26,27,28,30,32",Nan,2799,Nan,Westernwear-Women
19,zink london,checks cotton u neck womens dress - red,"Size:Large,Medium,Small,X-Large","Rs
2599",1299,50% off,Westernwear-Women
20,zink london,checks sleeveless cotton womens jumpsuit - yellow,"Size:Large,Medium,Small,X-Large","Rs
2299",1149,50% off,Westernwear-Women
21,109f,womens round neck stripe shift dress - red,"Size:Medium,Small","Rs
1599",639,60% off,Westernwear-Women
22,Nan,Nan,Nan,Nan,Nan,Nan,Westernwear-Women
23,latin quarters,dyed shawl neck rayon blend womens casual shrug - blue,Size:S,"Rs
1599",499,69% off,Westernwear-Women
24,infuse,regular fit full length cotton womens loungewear pyjamas - maroon,"Size:28,30,32","Rs
599",299,50% off,Westernwear-Women
25,zink london,solid viscose round neck womens top - orange,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1699",1019,40% off,Westernwear-Women
0,adidas,solid regular fit blended womens active wear tights - black,"Size:Large,Medium,Small,X-Small","Rs
2499",1249,50% off,Westernwear-Women
1,zink london,stripes polyester round neck womens top - black,"Size:Large,Medium,Small,X-Large","Rs
1499",1199,20% off,Westernwear-Women
2,indya,shraddha kapoor for indya green floral wrap crop top - green,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1800",900,50% off,Westernwear-Women
3,latin quarters,solid v neck polyester womens regular fit dress - peach,"Size:S,M,L,XL,X-Small","Rs
2899",799,72% off,Westernwear-Women
4,magre,printed polyester blend womens dress - brown,"Size:Large,Medium,Small,X-Small","Rs
2190",1314,40% off,Westernwear-Women
5,only,loose fit midi length cotton womens jeans - green,"Size:34,36,38,40,42","Rs
3699",2959,20% off,Westernwear-Women
6,latin quarters,printed polyester womens regular blouse - black,"Size:S,M,L,XL,XX-Large","Rs
1499",1049,30% off,Westernwear-Women
7,vero moda,stripes sleeveless polyester womens full length jumpsuits - brown,"Size:Large,Medium,Small,X-Large,X-Small",Nan,3499,Nan,Westernwear-Women
8,w,printed viscose regular fit womens full length jumpsuit - green,"Size:6,8,10,12,14,16,18",Nan,3999,Nan,Westernwear-Women
9,faballey,floral halter neck georgette womens maxi dress - purple,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2800",2240,20% off,Westernwear-Women
10,only,solid rayon nylon flared fit womens casual pants - navy,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2499",1999,20% off,Westernwear-Women
11,faballey,printed sleeveless crepe womens regular jumpsuit - white,"Size:Medium,Small,X-Small","Rs
2200",1100,50% off,Westernwear-Women
12,life,printed round neck polyester womens regular top - pink,"Size:Large,Medium,Small,X-Large,X-Small","Rs
999",499,50% off,Westernwear-Women
13,campus sutra,womens polo neck full sleeve shirt - brown mix,Size:Small,Nan,1399,Nan,Westernwear-Women
14,cover story,stripes blended collar neck womens dress - yellow,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2290",1603,30% off,Westernwear-Women
15,vero moda,printed relaxed cotton womens casual wear pants - pink,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2499",1499,40% off,Westernwear-Women
16,is.u,solid cotton round neck womens top - white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
890",445,50% off,Westernwear-Women
17,zink london,stripes polyester v neck womens top - multi,"Size:Large,Medium,Small,X-Large","Rs
1399",839,40% off,Westernwear-Women
18,allen solly,textured polyester womens formal wear blazer - black,"Size:Large,Medium,Small,X-Small,XX-Large","Rs
3499",2799,20% off,Westernwear-Women
19,juniper,solid slim fit rayon womens casual trousers - ivory,"Size:4X-Large,X-Large,XXX-Large","Rs
1899",759,60% off,Westernwear-Women
20,life,printed wide neck viscose womens regular dress - sage,"Size:26,28,30,32,34","Rs
1199",599,50% off,Westernwear-Women
21,proline,polyester round neck womens t-shirt - pink,"Size:Large,Medium,Small,X-Large","Rs
699",349,50% off,Westernwear-Women
22,Nan,Nan,Nan,Nan,Nan,Nan,Westernwear-Women
23,fratini,printed polyester regular fit womens top - multi,"Size:Large,Medium,Small,X-Large,X-Small",Nan,999,Nan,Westernwear-Women
24,life,womens regular fit printed casual top - red,"Size:Medium,Small,X-Small","Rs
799",399,50% off,Westernwear-Women
25,forever new,solid polyester v neck womens dress - blue,"Size:6,8,10,12,14","Rs
7800",5460,30% off,Westernwear-Women
